gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,high school,standard,none,56,45,49
male,group A,some high school,free/reduced,none,73,72,66
female,group C,some college,standard,completed,91,98,94
male,group D,some college,standard,none,73,69,64
male,group C,associate's degree,standard,none,45,38,44
female,group B,bachelor's degree,standard,none,72,87,86
male,group E,some high school,standard,none,96,82,81
male,group C,bachelor's degree,standard,completed,84,86,82
male,group D,associate's degree,standard,none,84,72,82
male,group D,bachelor's degree,free/reduced,none,59,68,70
female,group D,some high school,standard,completed,68,56,76
male,group B,some college,standard,none,55,57,50
male,group C,associate's degree,standard,none,84,82,78
male,group D,high school,free/reduced,completed,77,71,62
female,group E,bachelor's degree,standard,none,85,87,84
female,group D,high school,standard,none,55,47,54
male,group E,some college,standard,none,62,56,45
male,group D,some high school,standard,none,75,75,74
male,group C,associate's degree,standard,none,83,80,71
male,group E,associate's degree,standard,none,89,78,71
female,group B,high school,standard,completed,62,68,73
female,group B,high school,standard,none,65,67,62
male,group C,high school,standard,none,67,65,54
male,group A,some high school,standard,completed,43,48,53
female,group D,some college,free/reduced,none,66,84,87
female,group B,some high school,standard,completed,63,72,69
male,group D,master's degree,standard,none,85,80,67
male,group D,high school,standard,none,52,56,53
female,group E,some college,standard,none,58,78,68
female,group C,associate's degree,free/reduced,none,68,68,71
male,group C,associate's degree,standard,completed,76,81,79
female,group B,some college,standard,none,75,78,78
female,group C,master's degree,free/reduced,completed,65,81,77
female,group C,some high school,free/reduced,completed,68,81,77
male,group C,some college,standard,completed,82,82,74
female,group C,some high school,free/reduced,none,41,55,48
female,group E,high school,standard,none,100,93,92
male,group D,high school,standard,none,72,74,68
male,group D,some high school,free/reduced,none,54,41,38
female,group C,bachelor's degree,standard,none,59,76,85
female,group D,high school,standard,none,74,75,75
female,group D,associate's degree,standard,completed,84,87,95
female,group E,some college,free/reduced,none,72,78,69
male,group C,bachelor's degree,standard,none,64,58,62
male,group C,some college,standard,none,53,53,42
female,group D,associate's degree,free/reduced,none,52,51,57
female,group D,some college,standard,none,66,70,72
male,group B,some college,standard,completed,93,82,75
male,group C,bachelor's degree,standard,none,78,80,76
female,group C,some high school,standard,completed,90,89,90
female,group E,high school,standard,completed,57,68,79
female,group C,some high school,free/reduced,none,61,84,75
male,group B,bachelor's degree,free/reduced,none,74,53,57
male,group D,high school,standard,none,50,55,41
male,group D,high school,standard,none,45,51,46
female,group D,bachelor's degree,free/reduced,none,71,78,85
female,group D,some college,free/reduced,completed,68,77,74
female,group B,some high school,standard,none,40,48,50
male,group B,associate's degree,standard,completed,83,79,87
male,group E,associate's degree,standard,completed,100,84,89
female,group B,some high school,standard,none,70,88,84
male,group B,bachelor's degree,free/reduced,none,88,79,71
male,group E,some high school,standard,completed,76,74,76
male,group C,associate's degree,standard,none,75,73,65
male,group D,some high school,standard,none,88,75,69
male,group C,some high school,standard,completed,67,56,57
female,group E,bachelor's degree,standard,none,68,74,78
male,group D,high school,free/reduced,completed,82,73,81
male,group B,associate's degree,free/reduced,none,67,65,63
male,group A,some high school,standard,completed,46,36,40
male,group E,associate's degree,standard,completed,72,72,67
male,group C,high school,free/reduced,completed,42,44,45
male,group D,associate's degree,free/reduced,none,90,91,80
male,group A,some college,free/reduced,completed,86,83,81
male,group D,some high school,free/reduced,none,51,58,57
female,group C,associate's degree,standard,completed,68,80,76
male,group B,associate's degree,standard,none,78,71,68
female,group C,associate's degree,standard,completed,78,70,88
male,group A,some college,standard,none,70,69,64
male,group E,some college,standard,completed,94,83,78
male,group C,some high school,standard,none,50,55,39
female,group B,associate's degree,free/reduced,none,51,67,65
female,group D,high school,free/reduced,none,49,54,57
female,group B,associate's degree,standard,none,69,78,76
male,group B,bachelor's degree,standard,none,66,58,61
male,group D,bachelor's degree,standard,completed,63,56,70
female,group C,associate's degree,free/reduced,completed,65,72,68
female,group C,bachelor's degree,standard,completed,63,65,78
male,group C,high school,standard,none,75,63,67
female,group D,master's degree,standard,completed,76,77,89
male,group C,associate's degree,standard,none,88,73,74
male,group B,bachelor's degree,standard,none,60,66,68
female,group D,associate's degree,free/reduced,none,57,70,61
female,group C,high school,free/reduced,completed,65,77,79
female,group E,high school,standard,none,80,85,79
female,group C,some college,standard,none,68,85,79
female,group C,some high school,free/reduced,none,41,54,50
female,group C,high school,free/reduced,none,42,42,44
female,group C,some college,standard,none,87,95,98
male,group C,some college,standard,none,57,62,63
male,group A,some college,free/reduced,none,32,28,23
male,group C,associate's degree,standard,completed,81,76,80
female,group B,some high school,standard,none,38,50,54
male,group C,high school,standard,none,75,61,63
male,group C,associate's degree,standard,none,42,33,31
male,group E,associate's degree,standard,completed,67,61,56
male,group B,associate's degree,standard,none,95,75,83
female,group C,bachelor's degree,standard,none,87,97,94
female,group B,some college,free/reduced,none,65,71,61
male,group D,some high school,standard,completed,72,70,64
male,group C,associate's degree,standard,none,45,52,41
female,group B,some high school,free/reduced,none,27,36,23
female,group D,some high school,free/reduced,completed,36,54,63
male,group C,high school,free/reduced,none,56,57,47
female,group C,high school,standard,none,58,71,58
female,group B,high school,standard,completed,71,80,76
male,group D,associate's degree,standard,completed,67,68,63
male,group D,some college,standard,none,82,72,67
female,group C,high school,standard,none,74,82,77
male,group B,some college,standard,none,57,65,57
female,group C,bachelor's degree,standard,completed,76,98,95
male,group D,high school,free/reduced,none,80,76,64
male,group E,associate's degree,standard,none,88,77,72
female,group B,bachelor's degree,standard,none,49,61,66
male,group E,some college,standard,none,69,60,47
female,group C,some college,standard,completed,58,74,85
female,group C,associate's degree,standard,none,41,56,60
female,group C,some college,standard,none,62,68,75
female,group B,bachelor's degree,standard,none,61,75,72
male,group A,associate's degree,standard,none,66,66,57
female,group C,some college,free/reduced,completed,47,67,70
male,group D,some college,free/reduced,none,64,57,57
female,group D,some college,standard,none,85,90,93
female,group B,high school,standard,none,53,60,56
male,group B,some high school,standard,completed,81,81,73
female,group C,some college,standard,none,52,63,59
female,group D,some high school,free/reduced,none,25,34,37
male,group C,some college,standard,none,63,61,57
male,group A,bachelor's degree,free/reduced,completed,45,59,59
male,group C,high school,standard,completed,70,61,50
male,group C,bachelor's degree,free/reduced,none,61,67,66
female,group A,some high school,free/reduced,none,49,67,56
female,group D,some high school,standard,none,70,79,86
male,group E,some college,standard,none,81,77,69
female,group C,some college,free/reduced,completed,47,76,71
male,group D,some high school,standard,none,75,78,72
female,group D,some college,standard,completed,83,100,96
female,group D,bachelor's degree,standard,none,59,71,71
male,group E,associate's degree,free/reduced,none,46,44,42
female,group D,some high school,standard,none,83,92,85
female,group D,master's degree,free/reduced,completed,83,94,100
female,group A,some high school,standard,none,73,87,72
male,group A,bachelor's degree,standard,none,64,66,57
female,group B,associate's degree,standard,none,76,84,87
male,group C,associate's degree,standard,completed,88,95,96
male,group C,master's degree,free/reduced,none,74,76,69
female,group E,some high school,free/reduced,none,34,49,47
female,group A,some high school,free/reduced,none,36,38,38
female,group E,some college,standard,none,72,73,77
female,group E,bachelor's degree,standard,none,63,77,75
female,group C,associate's degree,free/reduced,none,57,80,62
female,group D,high school,standard,none,61,66,66
male,group D,master's degree,standard,none,68,68,80
male,group E,some high school,free/reduced,completed,71,67,61
female,group D,some college,standard,none,79,63,74
male,group E,some college,standard,none,75,66,68
male,group C,associate's degree,standard,completed,52,55,53
female,group C,some high school,standard,completed,68,76,73
male,group A,high school,free/reduced,none,44,48,42
female,group B,high school,free/reduced,none,55,71,64
female,group C,associate's degree,standard,none,80,85,94
male,group B,some high school,standard,none,78,62,54
male,group D,some high school,standard,none,58,59,51
female,group C,some high school,standard,completed,63,53,62
male,group A,some college,standard,none,50,41,39
female,group A,some college,free/reduced,none,48,68,57
female,group D,high school,standard,completed,91,98,95
female,group C,high school,standard,none,52,56,67
female,group C,some high school,standard,none,65,77,70
male,group B,associate's degree,standard,completed,65,70,65
female,group B,associate's degree,standard,none,84,83,81
female,group D,high school,free/reduced,completed,53,54,60
male,group D,associate's degree,standard,completed,88,79,81
female,group D,master's degree,standard,completed,68,74,73
male,group E,some college,standard,completed,80,88,81
male,group D,associate's degree,standard,none,73,63,58
male,group B,some high school,standard,completed,65,64,69
female,group C,bachelor's degree,free/reduced,completed,54,71,74
male,group E,high school,standard,none,86,68,70
male,group C,bachelor's degree,standard,completed,72,79,63
male,group C,associate's degree,standard,none,72,72,65
male,group D,some college,standard,none,65,58,58
male,group E,high school,free/reduced,completed,55,56,49
female,group C,associate's degree,free/reduced,completed,83,96,92
female,group D,high school,standard,completed,54,62,64
female,group D,master's degree,free/reduced,completed,42,54,65
female,group A,some high school,standard,completed,57,84,77
male,group B,some college,free/reduced,none,46,34,38
female,group C,some college,free/reduced,none,59,69,58
male,group C,bachelor's degree,standard,none,82,80,82
male,group C,some high school,free/reduced,none,72,72,61
male,group A,some high school,free/reduced,none,66,59,50
male,group C,some high school,free/reduced,none,65,68,51
male,group C,associate's degree,free/reduced,none,69,69,56
female,group C,high school,standard,none,56,70,69
male,group C,high school,standard,none,65,54,54
female,group A,some high school,free/reduced,none,47,61,45
male,group C,some high school,standard,none,74,67,61
male,group C,some college,free/reduced,completed,48,52,51
male,group D,associate's degree,standard,none,78,68,69
male,group D,associate's degree,free/reduced,none,72,62,71
male,group C,high school,standard,none,65,53,48
male,group D,some high school,standard,completed,85,86,85
female,group C,some college,standard,completed,68,77,80
female,group D,high school,standard,none,75,86,85
female,group A,some high school,free/reduced,none,61,73,73
female,group B,associate's degree,standard,none,76,86,80
male,group A,some high school,free/reduced,none,80,84,70
female,group C,some high school,standard,completed,72,72,78
male,group D,some college,free/reduced,none,65,66,58
male,group C,high school,standard,completed,88,84,83
male,group B,high school,standard,none,47,45,42
male,group B,associate's degree,standard,none,80,78,67
female,group C,some college,free/reduced,completed,59,84,83
female,group E,some college,standard,none,100,88,100
female,group C,associate's degree,free/reduced,none,65,77,79
male,group C,some college,free/reduced,none,67,63,46
female,group C,associate's degree,free/reduced,none,51,63,60
male,group C,bachelor's degree,free/reduced,none,36,59,48
female,group D,bachelor's degree,standard,none,84,86,90
male,group D,associate's degree,free/reduced,none,50,49,53
female,group E,bachelor's degree,standard,none,100,97,100
male,group B,high school,standard,completed,75,68,67
male,group C,bachelor's degree,free/reduced,none,54,56,52
male,group B,some college,free/reduced,none,52,58,41
female,group E,some college,standard,none,69,75,71
female,group C,some college,free/reduced,none,72,89,88
male,group A,bachelor's degree,standard,completed,80,59,59
female,group C,some college,standard,none,80,87,91
female,group D,associate's degree,free/reduced,none,27,27,37
male,group A,high school,free/reduced,completed,68,72,69
female,group A,high school,free/reduced,completed,75,88,89
male,group C,some college,standard,none,93,74,78
female,group C,associate's degree,standard,completed,87,84,88
female,group C,high school,standard,none,61,68,73
female,group C,associate's degree,standard,completed,64,89,80
female,group D,some high school,standard,none,58,68,60
female,group B,associate's degree,standard,completed,86,88,87
female,group D,bachelor's degree,standard,completed,76,73,88
male,group E,bachelor's degree,standard,completed,80,60,66
male,group D,associate's degree,standard,none,81,73,68
female,group D,master's degree,standard,none,57,59,66
male,group E,associate's degree,standard,none,75,69,62
male,group B,high school,standard,completed,72,76,70
female,group D,associate's degree,free/reduced,none,57,63,61
male,group C,some college,free/reduced,none,71,63,61
male,group A,high school,standard,none,64,48,51
female,group B,associate's degree,standard,none,48,54,51
male,group C,high school,standard,none,68,76,71
male,group D,some college,free/reduced,none,59,45,60
female,group C,associate's degree,free/reduced,none,63,72,70
male,group B,some high school,standard,completed,63,54,58
male,group A,associate's degree,free/reduced,completed,84,78,83
female,group A,associate's degree,free/reduced,none,67,80,80
female,group C,associate's degree,standard,none,59,65,66
female,group C,some college,standard,none,79,79,87
female,group C,bachelor's degree,standard,none,77,92,93
female,group B,high school,standard,none,55,68,71
male,group D,high school,standard,completed,64,66,63
female,group C,some college,standard,none,57,53,53
female,group D,some college,free/reduced,completed,63,73,74
female,group B,some high school,standard,none,64,65,63
male,group E,some college,standard,none,80,73,69
female,group D,master's degree,standard,none,71,80,80
female,group B,associate's degree,standard,completed,98,83,95
male,group C,some college,free/reduced,none,60,66,52
female,group E,associate's degree,standard,completed,98,91,89
female,group D,master's degree,free/reduced,none,38,57,54
female,group B,some high school,standard,none,83,79,82
male,group A,high school,standard,none,67,69,67
male,group B,bachelor's degree,free/reduced,none,56,57,54
male,group C,master's degree,standard,none,74,74,73
female,group C,bachelor's degree,standard,none,88,97,90
male,group D,some college,standard,none,78,76,74
male,group A,some high school,standard,none,66,49,40
male,group D,some high school,free/reduced,none,57,45,49
female,group B,some high school,standard,completed,56,56,63
female,group B,master's degree,free/reduced,completed,75,94,98
female,group C,some high school,standard,completed,79,87,82
female,group D,some college,standard,none,77,85,81
female,group E,some college,standard,completed,64,74,76
female,group D,some high school,standard,completed,63,76,81
female,group B,high school,free/reduced,completed,67,77,83
male,group D,some college,standard,none,74,44,49
female,group C,associate's degree,standard,none,96,84,84
male,group D,bachelor's degree,standard,none,69,59,59
male,group C,master's degree,free/reduced,none,59,58,46
male,group C,high school,standard,completed,55,55,54
male,group E,some college,standard,none,63,64,63
male,group C,some high school,free/reduced,completed,54,65,59
female,group C,high school,free/reduced,none,34,56,46
female,group D,bachelor's degree,free/reduced,none,33,36,47
female,group C,associate's degree,standard,none,66,72,67
female,group C,associate's degree,standard,completed,67,72,69
female,group C,some high school,standard,none,51,51,52
male,group E,associate's degree,standard,completed,61,61,61
female,group E,associate's degree,standard,completed,84,87,96
male,group B,high school,standard,completed,71,70,72
female,group C,bachelor's degree,free/reduced,completed,65,86,79
male,group C,associate's degree,standard,completed,48,64,62
female,group D,high school,standard,none,53,64,66
male,group E,bachelor's degree,standard,completed,85,62,71
male,group A,associate's degree,standard,completed,92,87,88
male,group C,high school,standard,completed,78,70,72
male,group D,associate's degree,free/reduced,completed,80,81,75
female,group C,associate's degree,standard,none,84,79,75
female,group D,associate's degree,standard,none,82,94,93
female,group D,master's degree,standard,none,63,59,67
male,group E,some high school,free/reduced,completed,73,87,78
female,group A,some high school,standard,completed,97,100,95
male,group C,high school,standard,completed,70,69,66
female,group C,high school,free/reduced,none,63,72,66
male,group C,master's degree,standard,none,74,75,68
male,group C,some high school,free/reduced,none,75,71,65
male,group B,bachelor's degree,free/reduced,completed,90,89,83
female,group B,associate's degree,standard,none,43,43,48
male,group D,some college,free/reduced,none,78,66,61
male,group E,associate's degree,standard,none,57,49,36
female,group C,some college,free/reduced,none,28,44,32
female,group C,associate's degree,standard,completed,55,71,80
male,group C,master's degree,free/reduced,none,56,65,67
female,group B,associate's degree,free/reduced,none,53,66,67
male,group D,some high school,standard,none,69,62,58
female,group D,some college,standard,completed,71,71,76
female,group C,some college,standard,none,61,70,78
male,group C,bachelor's degree,standard,completed,94,92,88
female,group D,some college,free/reduced,completed,68,78,77
male,group B,bachelor's degree,free/reduced,none,44,52,43
male,group B,associate's degree,standard,none,45,40,45
female,group E,bachelor's degree,free/reduced,completed,90,100,100
female,group D,master's degree,free/reduced,completed,63,70,74
male,group B,high school,free/reduced,none,63,45,52
male,group D,bachelor's degree,free/reduced,none,73,70,64
male,group B,some college,standard,completed,68,79,68
male,group A,bachelor's degree,standard,none,91,96,87
female,group C,some college,standard,none,58,61,60
female,group C,high school,free/reduced,completed,52,71,59
female,group E,high school,standard,none,75,77,69
male,group A,associate's degree,free/reduced,completed,37,53,49
male,group A,some college,standard,completed,65,55,51
female,group B,high school,standard,none,81,94,89
female,group B,some college,free/reduced,completed,44,58,56
female,group D,master's degree,standard,none,57,57,69
female,group D,some high school,standard,none,77,92,91
female,group E,some high school,standard,none,76,77,82
female,group D,bachelor's degree,free/reduced,none,65,77,83
female,group D,associate's degree,standard,completed,72,73,85
female,group D,some college,standard,none,64,81,73
female,group C,associate's degree,standard,none,65,71,80
female,group A,high school,standard,none,54,76,73
female,group C,bachelor's degree,free/reduced,none,46,59,63
female,group C,some college,standard,none,56,61,69
female,group A,some high school,standard,none,48,68,66
male,group C,some college,free/reduced,none,59,61,50
male,group A,some high school,standard,none,72,65,47
male,group E,bachelor's degree,standard,none,70,73,61
female,group E,high school,standard,none,72,73,71
female,group C,bachelor's degree,standard,completed,97,98,95
female,group C,bachelor's degree,standard,completed,54,79,68
male,group B,high school,free/reduced,none,32,26,16
male,group A,some high school,standard,none,53,59,47
female,group D,high school,standard,none,64,73,76
female,group D,some high school,standard,none,69,78,79
female,group D,master's degree,standard,none,52,58,68
female,group C,high school,standard,none,29,29,35
female,group E,some college,standard,none,72,80,76
male,group D,high school,free/reduced,none,65,62,56
male,group D,master's degree,free/reduced,completed,85,86,86
male,group C,some high school,standard,none,74,75,66
female,group C,associate's degree,standard,none,85,88,87
female,group C,master's degree,free/reduced,none,40,56,55
female,group E,some college,standard,none,60,67,66
female,group B,associate's degree,standard,none,59,61,60
male,group D,some college,free/reduced,completed,71,62,66
female,group C,some college,standard,none,62,61,62
male,group C,bachelor's degree,standard,completed,93,95,89
female,group C,associate's degree,standard,none,65,81,73
female,group A,associate's degree,standard,none,78,91,94
female,group C,high school,standard,none,60,63,76
female,group E,bachelor's degree,standard,none,42,44,42
male,group D,bachelor's degree,standard,none,93,81,81
male,group D,master's degree,standard,none,93,77,80
male,group C,associate's degree,free/reduced,completed,63,70,68
female,group C,high school,free/reduced,none,33,65,55
male,group B,bachelor's degree,free/reduced,none,62,64,51
male,group C,high school,free/reduced,completed,58,47,54
male,group A,some college,standard,completed,100,93,87
female,group E,bachelor's degree,free/reduced,none,57,62,66
male,group D,some college,standard,completed,96,92,97
male,group B,associate's degree,free/reduced,completed,74,71,68
male,group D,associate's degree,standard,none,57,52,44
male,group D,some college,free/reduced,none,50,61,49
female,group C,some high school,standard,completed,46,50,59
male,group D,some college,standard,none,69,65,74
male,group B,high school,standard,none,76,62,63
