gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some high school,free/reduced,none,50,40,34
female,group C,some college,standard,none,56,76,76
male,group B,associate's degree,free/reduced,none,65,56,54
female,group C,associate's degree,standard,none,41,69,56
female,group D,some college,free/reduced,completed,54,65,77
male,group D,some college,standard,completed,65,59,59
female,group A,associate's degree,free/reduced,none,41,54,43
male,group C,some high school,free/reduced,none,59,54,56
male,group C,some high school,standard,none,53,48,45
male,group B,associate's degree,free/reduced,none,45,36,37
male,group E,some high school,standard,none,34,27,21
male,group A,bachelor's degree,standard,completed,75,81,76
female,group D,some high school,standard,completed,58,74,67
female,group E,master's degree,standard,none,59,64,73
female,group B,associate's degree,standard,none,51,45,54
male,group B,high school,free/reduced,none,45,49,42
male,group A,some college,free/reduced,completed,52,49,57
male,group E,associate's degree,standard,none,73,63,62
male,group D,high school,free/reduced,none,41,44,32
female,group C,some college,standard,none,69,75,83
female,group C,some college,free/reduced,none,79,86,91
female,group D,associate's degree,standard,none,66,75,71
female,group A,some college,standard,none,60,66,62
female,group D,some high school,standard,none,71,81,82
female,group C,bachelor's degree,standard,none,70,73,70
male,group C,high school,free/reduced,none,29,33,33
male,group C,high school,standard,none,67,78,75
male,group C,associate's degree,free/reduced,completed,44,46,52
female,group B,some college,standard,none,77,81,91
male,group C,associate's degree,free/reduced,completed,82,85,80
male,group B,some high school,standard,completed,69,65,60
female,group E,some college,standard,completed,62,73,71
female,group D,some college,free/reduced,none,54,64,58
female,group D,bachelor's degree,standard,none,69,69,64
male,group B,some college,standard,none,82,66,64
male,group D,bachelor's degree,standard,completed,70,72,77
female,group D,associate's degree,standard,none,80,94,92
male,group B,high school,standard,completed,56,47,48
male,group C,some college,standard,completed,98,89,88
female,group C,some college,standard,none,53,71,74
female,group D,master's degree,standard,none,84,100,96
male,group E,associate's degree,standard,completed,61,62,65
female,group B,associate's degree,free/reduced,none,56,72,74
female,group B,some high school,standard,none,72,61,68
female,group D,associate's degree,free/reduced,completed,78,89,95
male,group C,high school,standard,none,66,55,48
male,group A,associate's degree,standard,none,54,53,42
female,group D,some college,standard,none,49,60,52
female,group E,bachelor's degree,standard,completed,100,98,100
male,group C,high school,standard,none,85,82,79
female,group B,bachelor's degree,free/reduced,none,75,86,80
female,group D,bachelor's degree,standard,none,76,78,82
female,group D,some high school,standard,none,48,65,59
female,group C,some college,standard,none,55,66,69
female,group C,bachelor's degree,standard,completed,80,96,93
male,group B,associate's degree,standard,completed,96,84,90
female,group C,some college,standard,completed,91,90,94
male,group D,high school,free/reduced,none,67,52,53
male,group E,some college,standard,none,78,82,74
female,group B,high school,standard,none,84,94,90
male,group B,some high school,standard,none,72,69,67
male,group D,some college,standard,completed,69,82,75
male,group D,master's degree,standard,none,86,86,71
female,group A,bachelor's degree,standard,none,55,48,47
male,group D,master's degree,standard,none,90,87,81
male,group C,some high school,free/reduced,completed,58,36,36
male,group E,some college,free/reduced,completed,82,79,68
female,group C,some college,standard,completed,74,76,80
male,group D,bachelor's degree,free/reduced,completed,76,75,70
male,group C,bachelor's degree,standard,none,55,57,53
male,group B,some high school,standard,completed,55,58,36
male,group E,high school,standard,none,65,53,60
female,group C,associate's degree,standard,none,54,66,62
male,group D,some college,standard,completed,73,61,74
female,group D,some high school,standard,none,81,71,67
female,group C,some college,free/reduced,none,62,58,68
female,group E,some college,free/reduced,completed,47,53,50
male,group A,high school,standard,none,53,39,52
male,group D,some college,standard,none,90,71,81
female,group C,some college,free/reduced,none,25,38,28
male,group B,some high school,standard,none,93,84,79
male,group C,associate's degree,free/reduced,none,68,66,71
female,group D,bachelor's degree,standard,completed,66,75,76
male,group E,associate's degree,free/reduced,completed,100,100,90
male,group A,some high school,standard,completed,61,71,72
male,group A,bachelor's degree,standard,none,76,62,71
female,group B,associate's degree,standard,completed,57,75,69
male,group D,bachelor's degree,standard,none,51,53,50
male,group D,some high school,standard,none,60,68,58
female,group C,some college,standard,completed,71,90,93
female,group E,high school,free/reduced,completed,63,78,75
male,group B,some college,free/reduced,none,61,55,57
female,group B,associate's degree,standard,completed,63,83,84
male,group D,associate's degree,free/reduced,none,65,67,69
male,group B,associate's degree,free/reduced,completed,87,83,69
female,group E,some college,free/reduced,completed,80,91,84
male,group B,master's degree,free/reduced,none,46,58,53
male,group C,high school,standard,none,54,56,54
female,group E,master's degree,standard,none,78,97,95
female,group C,bachelor's degree,standard,completed,96,100,100
male,group C,high school,free/reduced,completed,52,48,54
female,group B,master's degree,free/reduced,completed,60,80,81
female,group B,high school,standard,completed,66,82,79
female,group C,some college,free/reduced,completed,63,77,74
male,group A,high school,standard,completed,67,69,73
male,group E,some high school,standard,none,94,89,82
female,group D,some college,standard,none,79,86,84
female,group C,associate's degree,standard,none,68,65,66
female,group C,bachelor's degree,free/reduced,completed,44,51,49
female,group C,master's degree,standard,completed,81,96,86
female,group B,high school,free/reduced,completed,47,54,60
female,group C,associate's degree,standard,completed,76,81,76
female,group B,master's degree,free/reduced,completed,49,72,57
female,group D,some high school,standard,completed,95,100,98
male,group C,master's degree,free/reduced,completed,60,65,77
female,group C,some college,free/reduced,none,46,66,64
female,group E,high school,standard,none,48,55,49
female,group D,associate's degree,standard,none,61,69,67
male,group C,some high school,free/reduced,completed,46,52,48
male,group C,associate's degree,free/reduced,completed,62,67,62
male,group E,high school,standard,none,75,75,63
male,group D,some high school,standard,completed,59,70,72
male,group B,some high school,free/reduced,none,51,49,41
female,group C,bachelor's degree,standard,none,81,89,83
female,group E,associate's degree,standard,none,65,67,73
male,group D,some college,standard,completed,78,78,84
female,group B,some high school,standard,none,62,68,63
male,group D,some college,standard,completed,81,66,57
female,group C,master's degree,standard,completed,73,82,82
male,group D,associate's degree,standard,none,58,50,53
male,group C,some high school,free/reduced,completed,61,66,65
male,group E,high school,free/reduced,none,57,57,46
female,group B,some college,free/reduced,none,40,50,55
female,group B,bachelor's degree,free/reduced,none,75,75,81
female,group C,associate's degree,standard,completed,63,84,90
female,group D,some college,free/reduced,none,61,84,80
male,group C,associate's degree,standard,none,64,82,67
female,group B,associate's degree,standard,none,52,72,65
male,group C,some college,standard,none,59,43,46
male,group D,some high school,standard,completed,74,71,77
male,group E,bachelor's degree,standard,none,82,57,64
male,group E,high school,standard,completed,77,76,74
female,group B,some college,free/reduced,none,76,80,81
female,group B,some college,free/reduced,none,53,64,61
male,group D,some high school,free/reduced,completed,84,83,84
male,group C,some college,free/reduced,none,30,32,25
female,group C,high school,free/reduced,none,46,59,62
male,group C,associate's degree,free/reduced,completed,60,51,61
male,group E,high school,standard,completed,83,91,85
male,group B,some high school,standard,completed,84,80,72
female,group E,associate's degree,free/reduced,completed,86,82,86
female,group C,high school,free/reduced,none,37,42,37
male,group B,high school,free/reduced,none,63,75,67
male,group B,some high school,standard,completed,61,55,54
female,group D,high school,standard,completed,53,73,71
male,group B,associate's degree,standard,none,83,81,71
female,group C,some high school,free/reduced,none,52,62,62
male,group D,some high school,standard,none,86,85,70
female,group B,associate's degree,standard,completed,56,70,69
female,group E,master's degree,free/reduced,none,45,51,52
female,group C,some college,standard,none,77,68,66
male,group D,high school,standard,none,54,49,55
male,group A,some high school,free/reduced,none,72,73,64
female,group C,some college,standard,completed,83,94,89
male,group D,some college,standard,none,71,59,67
male,group C,associate's degree,standard,none,44,40,42
female,group B,bachelor's degree,standard,none,63,90,86
male,group E,some high school,standard,none,90,90,75
male,group C,bachelor's degree,standard,completed,88,83,85
male,group D,associate's degree,standard,none,82,78,82
male,group D,bachelor's degree,free/reduced,none,58,62,65
female,group D,some high school,standard,completed,63,57,72
male,group B,some college,standard,none,50,56,48
male,group C,associate's degree,standard,none,81,80,84
male,group D,high school,free/reduced,completed,70,68,62
female,group E,bachelor's degree,standard,none,77,79,80
female,group D,high school,standard,none,60,54,50
male,group E,some college,standard,none,64,55,38
male,group D,some high school,standard,none,70,76,68
male,group C,associate's degree,standard,none,88,77,71
male,group E,associate's degree,standard,none,87,76,79
female,group B,high school,standard,completed,60,70,72
female,group B,high school,standard,none,67,69,62
male,group C,high school,standard,none,65,64,52
male,group A,some high school,standard,completed,49,53,53
female,group D,some college,free/reduced,none,75,87,82
female,group B,some high school,standard,completed,65,65,67
male,group D,master's degree,standard,none,80,78,67
male,group D,high school,standard,none,53,55,50
female,group E,some college,standard,none,57,77,67
female,group C,associate's degree,free/reduced,none,68,73,72
male,group C,associate's degree,standard,completed,77,82,78
female,group B,some college,standard,none,74,73,80
female,group C,master's degree,free/reduced,completed,64,78,86
female,group C,some high school,free/reduced,completed,65,83,72
male,group C,some college,standard,completed,84,80,81
female,group C,some high school,free/reduced,none,41,52,47
female,group E,high school,standard,none,97,88,92
male,group D,high school,standard,none,76,71,64
male,group D,some high school,free/reduced,none,56,45,37
female,group C,bachelor's degree,standard,none,62,76,79
female,group D,high school,standard,none,72,67,82
female,group D,associate's degree,standard,completed,86,90,94
female,group E,some college,free/reduced,none,76,76,72
male,group C,bachelor's degree,standard,none,71,61,60
male,group C,some college,standard,none,54,54,46
female,group D,associate's degree,free/reduced,none,50,57,61
female,group D,some college,standard,none,65,66,76
male,group B,some college,standard,completed,92,88,74
male,group C,bachelor's degree,standard,none,87,74,74
female,group C,some high school,standard,completed,86,92,97
female,group E,high school,standard,completed,56,61,79
female,group C,some high school,free/reduced,none,63,85,76
male,group B,bachelor's degree,free/reduced,none,78,52,56
male,group D,high school,standard,none,49,47,38
male,group D,high school,standard,none,43,50,44
female,group D,bachelor's degree,free/reduced,none,73,75,87
female,group D,some college,free/reduced,completed,71,83,78
female,group B,some high school,standard,none,32,51,44
male,group B,associate's degree,standard,completed,86,83,85
male,group E,associate's degree,standard,completed,97,84,85
female,group B,some high school,standard,none,71,87,81
male,group B,bachelor's degree,free/reduced,none,90,70,74
male,group E,some high school,standard,completed,73,73,75
male,group C,associate's degree,standard,none,79,67,71
male,group D,some high school,standard,none,86,70,66
male,group C,some high school,standard,completed,67,63,52
female,group E,bachelor's degree,standard,none,60,69,71
male,group D,high school,free/reduced,completed,78,73,83
male,group B,associate's degree,free/reduced,none,72,63,65
male,group A,some high school,standard,completed,47,38,45
male,group E,associate's degree,standard,completed,73,74,66
male,group C,high school,free/reduced,completed,38,50,50
male,group D,associate's degree,free/reduced,none,95,92,78
male,group A,some college,free/reduced,completed,78,80,82
male,group D,some high school,free/reduced,none,61,59,48
female,group C,associate's degree,standard,completed,69,89,82
male,group B,associate's degree,standard,none,79,73,60
female,group C,associate's degree,standard,completed,73,75,88
male,group A,some college,standard,none,69,72,68
male,group E,some college,standard,completed,95,84,76
male,group C,some high school,standard,none,52,56,49
female,group B,associate's degree,free/reduced,none,57,71,72
female,group D,high school,free/reduced,none,51,54,49
female,group B,associate's degree,standard,none,76,81,82
male,group B,bachelor's degree,standard,none,65,62,60
male,group D,bachelor's degree,standard,completed,63,62,68
female,group C,associate's degree,free/reduced,completed,71,66,69
female,group C,bachelor's degree,standard,completed,64,63,71
male,group C,high school,standard,none,70,63,70
female,group D,master's degree,standard,completed,76,82,92
male,group C,associate's degree,standard,none,78,76,79
male,group B,bachelor's degree,standard,none,59,68,69
female,group D,associate's degree,free/reduced,none,58,64,58
female,group C,high school,free/reduced,completed,68,83,86
female,group E,high school,standard,none,79,87,78
female,group C,some college,standard,none,74,79,78
female,group C,some high school,free/reduced,none,42,53,52
female,group C,high school,free/reduced,none,39,50,47
female,group C,some college,standard,none,78,93,99
male,group C,some college,standard,none,62,57,61
male,group A,some college,free/reduced,none,30,20,15
male,group C,associate's degree,standard,completed,87,79,73
female,group B,some high school,standard,none,45,53,56
male,group C,high school,standard,none,66,56,64
male,group C,associate's degree,standard,none,47,40,36
male,group E,associate's degree,standard,completed,59,52,55
male,group B,associate's degree,standard,none,92,73,85
female,group C,bachelor's degree,standard,none,83,96,96
female,group B,some college,free/reduced,none,62,67,71
male,group D,some high school,standard,completed,72,67,67
male,group C,associate's degree,standard,none,45,51,47
female,group B,some high school,free/reduced,none,23,37,31
female,group D,some high school,free/reduced,completed,34,55,57
male,group C,high school,free/reduced,none,56,62,53
female,group C,high school,standard,none,56,74,66
female,group B,high school,standard,completed,71,73,76
male,group D,associate's degree,standard,completed,64,76,63
male,group D,some college,standard,none,80,70,65
female,group C,high school,standard,none,68,77,78
male,group B,some college,standard,none,66,58,58
female,group C,bachelor's degree,standard,completed,76,91,96
male,group D,high school,free/reduced,none,76,76,63
male,group E,associate's degree,standard,none,89,71,73
female,group B,bachelor's degree,standard,none,56,63,70
male,group E,some college,standard,none,64,53,54
female,group C,some college,standard,completed,60,74,77
female,group C,associate's degree,standard,none,41,63,54
female,group C,some college,standard,none,56,67,71
female,group B,bachelor's degree,standard,none,60,71,75
male,group A,associate's degree,standard,none,58,63,64
female,group C,some college,free/reduced,completed,45,62,67
male,group D,some college,free/reduced,none,62,65,64
female,group D,some college,standard,none,81,91,91
female,group B,high school,standard,none,56,60,62
male,group B,some high school,standard,completed,87,81,73
female,group C,some college,standard,none,47,55,61
female,group D,some high school,free/reduced,none,24,34,33
male,group C,some college,standard,none,62,65,62
male,group A,bachelor's degree,free/reduced,completed,47,61,63
male,group C,high school,standard,completed,73,61,57
male,group C,bachelor's degree,free/reduced,none,61,64,64
female,group A,some high school,free/reduced,none,44,60,53
female,group D,some high school,standard,none,77,86,81
male,group E,some college,standard,none,80,75,66
female,group C,some college,free/reduced,completed,43,72,68
male,group D,some high school,standard,none,74,73,74
female,group D,some college,standard,completed,79,92,92
female,group D,bachelor's degree,standard,none,64,67,78
male,group E,associate's degree,free/reduced,none,45,48,42
female,group D,some high school,standard,none,83,86,86
female,group D,master's degree,free/reduced,completed,84,95,100
female,group A,some high school,standard,none,69,78,78
male,group A,bachelor's degree,standard,none,69,64,65
female,group B,associate's degree,standard,none,75,87,83
male,group C,associate's degree,standard,completed,85,100,95
male,group C,master's degree,free/reduced,none,77,79,73
female,group E,some high school,free/reduced,none,34,49,41
female,group A,some high school,free/reduced,none,38,39,39
female,group E,some college,standard,none,71,71,73
female,group E,bachelor's degree,standard,none,59,75,73
female,group C,associate's degree,free/reduced,none,62,81,69
female,group D,high school,standard,none,59,62,59
male,group D,master's degree,standard,none,71,68,77
male,group E,some high school,free/reduced,completed,78,69,64
female,group D,some college,standard,none,74,70,74
male,group E,some college,standard,none,76,64,67
male,group C,associate's degree,standard,completed,53,52,55
female,group C,some high school,standard,completed,64,76,79
male,group A,high school,free/reduced,none,49,44,42
female,group B,high school,free/reduced,none,45,63,66
female,group C,associate's degree,standard,none,89,86,94
male,group B,some high school,standard,none,73,58,58
male,group D,some high school,standard,none,55,63,49
female,group C,some high school,standard,completed,58,57,67
male,group A,some college,standard,none,48,45,41
female,group A,some college,free/reduced,none,46,61,54
female,group D,high school,standard,completed,87,95,99
female,group C,high school,standard,none,56,57,66
female,group C,some high school,standard,none,64,76,71
male,group B,associate's degree,standard,completed,64,64,64
female,group B,associate's degree,standard,none,81,81,80
female,group D,high school,free/reduced,completed,48,52,60
male,group D,associate's degree,standard,completed,82,83,85
female,group D,master's degree,standard,completed,70,70,73
male,group E,some college,standard,completed,81,81,83
male,group D,associate's degree,standard,none,71,61,61
male,group B,some high school,standard,completed,65,64,66
female,group C,bachelor's degree,free/reduced,completed,53,71,78
male,group E,high school,standard,none,82,68,70
male,group C,bachelor's degree,standard,completed,76,71,72
male,group C,associate's degree,standard,none,74,75,62
male,group D,some college,standard,none,67,55,67
male,group E,high school,free/reduced,completed,53,59,50
female,group C,associate's degree,free/reduced,completed,77,91,90
female,group D,high school,standard,completed,55,61,64
female,group D,master's degree,free/reduced,completed,46,59,72
female,group A,some high school,standard,completed,61,85,85
male,group B,some college,free/reduced,none,44,35,39
female,group C,some college,free/reduced,none,63,64,64
male,group C,bachelor's degree,standard,none,85,79,85
male,group C,some high school,free/reduced,none,64,75,67
male,group A,some high school,free/reduced,none,62,64,53
male,group C,some high school,free/reduced,none,70,60,59
male,group C,associate's degree,free/reduced,none,63,66,61
female,group C,high school,standard,none,61,75,75
male,group C,high school,standard,none,62,57,53
female,group A,some high school,free/reduced,none,49,61,49
male,group C,some high school,standard,none,78,63,65
male,group C,some college,free/reduced,completed,50,49,49
male,group D,associate's degree,standard,none,71,71,66
male,group D,associate's degree,free/reduced,none,72,70,75
male,group C,high school,standard,none,74,54,48
male,group D,some high school,standard,completed,91,93,81
female,group C,some college,standard,completed,68,81,75
female,group D,high school,standard,none,83,76,85
female,group A,some high school,free/reduced,none,55,77,69
female,group B,associate's degree,standard,none,68,78,74
male,group A,some high school,free/reduced,none,77,77,76
female,group C,some high school,standard,completed,70,77,76
male,group D,some college,free/reduced,none,64,63,65
male,group C,high school,standard,completed,88,78,76
male,group B,high school,standard,none,48,41,45
male,group B,associate's degree,standard,none,83,73,68
female,group C,some college,free/reduced,completed,65,83,82
female,group E,some college,standard,none,95,92,99
female,group C,associate's degree,free/reduced,none,60,74,71
male,group C,some college,free/reduced,none,60,61,53
female,group C,associate's degree,free/reduced,none,53,58,60
male,group C,bachelor's degree,free/reduced,none,38,52,49
female,group D,bachelor's degree,standard,none,74,90,90
male,group D,associate's degree,free/reduced,none,52,58,53
female,group E,bachelor's degree,standard,none,98,96,96
male,group B,high school,standard,completed,72,62,65
male,group C,bachelor's degree,free/reduced,none,52,61,54
male,group B,some college,free/reduced,none,51,53,44
female,group E,some college,standard,none,66,71,74
female,group C,some college,free/reduced,none,77,91,92
male,group A,bachelor's degree,standard,completed,80,59,62
female,group C,some college,standard,none,84,89,87
female,group D,associate's degree,free/reduced,none,24,26,38
male,group A,high school,free/reduced,completed,71,62,70
female,group A,high school,free/reduced,completed,76,89,87
male,group C,some college,standard,none,92,73,73
female,group C,associate's degree,standard,completed,79,88,86
female,group C,high school,standard,none,64,74,70
female,group C,associate's degree,standard,completed,71,85,89
female,group D,some high school,standard,none,58,65,62
female,group B,associate's degree,standard,completed,88,87,88
female,group D,bachelor's degree,standard,completed,67,73,84
male,group E,bachelor's degree,standard,completed,76,60,62
male,group D,associate's degree,standard,none,85,63,70
female,group D,master's degree,standard,none,60,61,67
male,group E,associate's degree,standard,none,81,75,63
male,group B,high school,standard,completed,68,69,70
female,group D,associate's degree,free/reduced,none,50,63,56
male,group C,some college,free/reduced,none,71,68,62
male,group A,high school,standard,none,64,49,46
female,group B,associate's degree,standard,none,51,48,55
male,group C,high school,standard,none,70,75,76
male,group D,some college,free/reduced,none,62,48,57
female,group C,associate's degree,free/reduced,none,64,72,75
male,group B,some high school,standard,completed,64,56,52
male,group A,associate's degree,free/reduced,completed,77,87,82
female,group A,associate's degree,free/reduced,none,60,86,80
female,group C,associate's degree,standard,none,69,68,70
female,group C,some college,standard,none,88,88,92
female,group C,bachelor's degree,standard,none,77,86,94
female,group B,high school,standard,none,52,62,68
male,group D,high school,standard,completed,67,65,68
female,group C,some college,standard,none,58,53,56
female,group D,some college,free/reduced,completed,60,75,76
female,group B,some high school,standard,none,62,68,72
male,group E,some college,standard,none,74,69,70
female,group D,master's degree,standard,none,79,77,82
female,group B,associate's degree,standard,completed,90,89,91
male,group C,some college,free/reduced,none,62,60,49
female,group E,associate's degree,standard,completed,94,88,93
female,group D,master's degree,free/reduced,none,45,54,52
female,group B,some high school,standard,none,84,85,79
male,group A,high school,standard,none,72,74,66
male,group B,bachelor's degree,free/reduced,none,55,60,54
male,group C,master's degree,standard,none,79,75,74
female,group C,bachelor's degree,standard,none,83,91,83
male,group D,some college,standard,none,74,71,69
male,group A,some high school,standard,none,59,50,48
male,group D,some high school,free/reduced,none,61,52,55
female,group B,some high school,standard,completed,52,65,60
female,group B,master's degree,free/reduced,completed,78,97,95
female,group C,some high school,standard,completed,74,86,85
female,group D,some college,standard,none,75,88,87
female,group E,some college,standard,completed,62,76,78
female,group D,some high school,standard,completed,61,83,74
female,group B,high school,free/reduced,completed,62,79,83
male,group D,some college,standard,none,72,53,56
female,group C,associate's degree,standard,none,86,83,82
male,group D,bachelor's degree,standard,none,68,55,58
male,group C,master's degree,free/reduced,none,59,62,48
male,group C,high school,standard,completed,54,57,52
male,group E,some college,standard,none,71,55,56
male,group C,some high school,free/reduced,completed,55,66,64
female,group C,high school,free/reduced,none,31,53,38
female,group D,bachelor's degree,free/reduced,none,29,38,47
female,group C,associate's degree,standard,none,67,70,72
female,group C,associate's degree,standard,completed,66,66,73
female,group C,some high school,standard,none,48,57,51
male,group E,associate's degree,standard,completed,60,66,59
female,group E,associate's degree,standard,completed,77,88,95
male,group B,high school,standard,completed,70,68,69
female,group C,bachelor's degree,free/reduced,completed,61,88,80
male,group C,associate's degree,standard,completed,52,58,61
female,group D,high school,standard,none,49,68,60
male,group E,bachelor's degree,standard,completed,86,61,68
male,group A,associate's degree,standard,completed,97,91,85
male,group C,high school,standard,completed,80,65,65
male,group D,associate's degree,free/reduced,completed,78,80,83
female,group C,associate's degree,standard,none,78,78,80
female,group D,associate's degree,standard,none,78,98,87
female,group D,master's degree,standard,none,62,67,68
male,group E,some high school,free/reduced,completed,81,86,81
female,group A,some high school,standard,completed,88,99,98
male,group C,high school,standard,completed,68,71,68
female,group C,high school,free/reduced,none,58,62,60
male,group C,master's degree,standard,none,76,72,74
male,group C,some high school,free/reduced,none,74,77,65
male,group B,bachelor's degree,free/reduced,completed,82,89,90
female,group B,associate's degree,standard,none,40,45,50
male,group D,some college,free/reduced,none,72,58,62
male,group E,associate's degree,standard,none,53,47,35
female,group C,some college,free/reduced,none,35,43,31
female,group C,associate's degree,standard,completed,54,74,79
male,group C,master's degree,free/reduced,none,63,68,66
female,group B,associate's degree,free/reduced,none,53,67,67
male,group D,some high school,standard,none,76,70,58
female,group D,some college,standard,completed,74,76,79
female,group C,some college,standard,none,64,71,77
male,group C,bachelor's degree,standard,completed,98,94,95
female,group D,some college,free/reduced,completed,65,83,83
male,group B,bachelor's degree,free/reduced,none,49,56,49
male,group B,associate's degree,standard,none,53,45,50
female,group E,bachelor's degree,free/reduced,completed,91,95,96
female,group D,master's degree,free/reduced,completed,56,73,82
male,group B,high school,free/reduced,none,58,43,48
male,group D,bachelor's degree,free/reduced,none,66,71,69
male,group B,some college,standard,completed,66,72,70
male,group A,bachelor's degree,standard,none,96,94,92
female,group C,some college,standard,none,56,62,57
female,group C,high school,free/reduced,completed,55,67,67
female,group E,high school,standard,none,71,76,74
male,group A,associate's degree,free/reduced,completed,36,58,53
male,group A,some college,standard,completed,59,55,55
female,group B,high school,standard,none,78,87,89
female,group B,some college,free/reduced,completed,50,52,60
female,group D,master's degree,standard,none,58,59,67
female,group D,some high school,standard,none,79,100,92
female,group E,some high school,standard,none,73,82,78
female,group D,bachelor's degree,free/reduced,none,65,78,78
female,group D,associate's degree,standard,completed,68,77,81
female,group D,some college,standard,none,72,81,76
female,group C,associate's degree,standard,none,66,80,76
female,group A,high school,standard,none,52,73,78
female,group C,bachelor's degree,free/reduced,none,41,68,62
female,group C,some college,standard,none,50,68,67
female,group A,some high school,standard,none,50,61,64
male,group C,some college,free/reduced,none,54,56,51
male,group A,some high school,standard,none,72,61,49
male,group E,bachelor's degree,standard,none,70,67,64
female,group E,high school,standard,none,69,73,70
female,group C,bachelor's degree,standard,completed,88,95,100
female,group C,bachelor's degree,standard,completed,53,83,69
male,group B,high school,free/reduced,none,27,20,20
male,group A,some high school,standard,none,54,57,43
female,group D,high school,standard,none,72,72,76
female,group D,some high school,standard,none,65,83,78
female,group D,master's degree,standard,none,49,61,68
female,group C,high school,standard,none,30,26,28
female,group E,some college,standard,none,72,79,80
male,group D,high school,free/reduced,none,57,54,49
male,group D,master's degree,free/reduced,completed,79,87,94
male,group C,some high school,standard,none,72,75,64
female,group C,associate's degree,standard,none,82,84,83
female,group C,master's degree,free/reduced,none,44,56,49
female,group E,some college,standard,none,62,69,60
female,group B,associate's degree,standard,none,54,61,67
male,group D,some college,free/reduced,completed,70,57,64
female,group C,some college,standard,none,58,56,68
male,group C,bachelor's degree,standard,completed,95,94,90
female,group C,associate's degree,standard,none,63,80,73
female,group A,associate's degree,standard,none,82,88,96
female,group C,high school,standard,none,65,69,72
female,group E,bachelor's degree,standard,none,42,43,35
male,group D,bachelor's degree,standard,none,89,74,79
male,group D,master's degree,standard,none,96,79,84
male,group C,associate's degree,free/reduced,completed,62,73,69
female,group C,high school,free/reduced,none,30,64,59
male,group B,bachelor's degree,free/reduced,none,66,58,60
male,group C,high school,free/reduced,completed,54,51,52
male,group A,some college,standard,completed,95,92,91
female,group E,bachelor's degree,free/reduced,none,58,61,57
male,group D,some college,standard,completed,100,94,99
male,group B,associate's degree,free/reduced,completed,71,67,60
male,group D,associate's degree,standard,none,64,45,50
male,group D,some college,free/reduced,none,46,61,46
female,group C,some high school,standard,completed,40,55,50
male,group D,some college,standard,none,71,69,73
male,group B,high school,standard,none,77,61,67
